folder_path,shuffles_missing,model_size
experiments/20260320_clothing_scalesweep_novar/model_name_gemini-3.1-flash-lite-preview/ordinal_helpful_scale-0.4,20,gemini
experiments/20260320_clothing_scalesweep_novar/model_name_gemini-3.1-flash-lite-preview/world_helpful_scale0.5,20,gemini
experiments/20260320_clothing_scalesweep_novar/model_name_gemini-3.1-flash-lite-preview/alphanumeric_scale-0.3,20,gemini
experiments/20260320_clothing_scalesweep_novar/model_name_gemini-3.1-flash-lite-preview/ordinal_helpful_scale-1.3,20,gemini
experiments/20260320_clothing_scalesweep_novar/model_name_gemini-3.1-flash-lite-preview/world_helpful_scale0.7,19,gemini
experiments/20260320_clothing_scalesweep_novar/model_name_gemini-3.1-flash-lite-preview/ordinal_helpful_scale1.6,20,gemini
experiments/20260320_clothing_scalesweep_novar/model_name_gemini-3.1-flash-lite-preview/alphanumeric_scale-0.1,20,gemini
experiments/20260320_clothing_scalesweep_novar/model_name_gemini-3.1-flash-lite-preview/alphanumeric_scale-1.7,20,gemini
experiments/20260320_clothing_scalesweep_novar/model_name_gemini-3.1-flash-lite-preview/ordinal_helpful_scale-1.6,20,gemini
experiments/20260320_clothing_scalesweep_novar/model_name_gemini-3.1-flash-lite-preview/alphanumeric_scale-0.6,20,gemini
experiments/20260320_clothing_scalesweep_novar/model_name_gemini-3.1-flash-lite-preview/ordinal_helpful_scale-0.1,20,gemini
experiments/20260320_clothing_scalesweep_novar/model_name_gemini-3.1-flash-lite-preview/world_helpful_scale-1.3,20,gemini
