dataset,arm,scale,model_scale,prompt,cum_regret@0_mean,cum_regret@0_std,cum_regret@1_mean,cum_regret@1_std,cum_regret@2_mean,cum_regret@2_std,cum_regret@3_mean,cum_regret@3_std,cum_regret@4_mean,cum_regret@4_std,cum_regret@5_mean,cum_regret@5_std,cum_regret@6_mean,cum_regret@6_std,cum_regret@7_mean,cum_regret@7_std
abandit,alphanumeric,high_scale,8B,fullhist,33.333333333333336,47.14045207910317,100.0,0.0,250.0,0.0,250.0,0.0,250.0,0.0,250.0,0.0,250.0,0.0,250.0,0.0
abandit,alphanumeric,high_scale,8B,summhist,33.333333333333336,47.14045207910317,166.66666666666666,62.36095644623236,200.0,70.71067811865476,350.0,70.71067811865476,400.0,122.47448713915892,500.0,141.4213562373095,566.6666666666666,169.96731711975949,683.3333333333334,192.93061504650376
abandit,alphanumeric,low_scale,14B,actionhist,0.6666666666666666,0.4714045207910317,0.6666666666666666,0.4714045207910317,1.1666666666666667,1.0274023338281628,2.0,0.7071067811865476,3.1666666666666665,0.8498365855987975,4.5,0.7071067811865476,4.833333333333333,0.2357022603955158,6.166666666666667,0.4714045207910317
abandit,alphanumeric,low_scale,14B,fullhist,1.3333333333333333,0.2357022603955158,1.6666666666666667,0.6236095644623235,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0
abandit,alphanumeric,low_scale,14B,summhist,1.0,0.7071067811865476,1.6666666666666667,0.6236095644623235,3.0,0.7071067811865476,3.3333333333333335,0.6236095644623235,4.333333333333333,1.3123346456686351,5.5,1.4142135623730951,6.833333333333333,1.6499158227686108,7.166666666666667,1.9293061504650375
abandit,alphanumeric,low_scale,8B,actionhist,1.1666666666666667,0.2357022603955158,2.0,0.7071067811865476,2.8333333333333335,1.3123346456686351,3.8333333333333335,1.0274023338281628,4.333333333333333,0.4714045207910317,4.666666666666667,0.4714045207910317,5.0,0.816496580927726,5.833333333333333,0.2357022603955158
abandit,alphanumeric,low_scale,8B,fullhist,1.1666666666666667,0.2357022603955158,1.1666666666666667,0.2357022603955158,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0
abandit,alphanumeric,low_scale,8B,summhist,0.0,0.0,0.8333333333333334,0.6236095644623235,1.8333333333333333,0.6236095644623235,2.3333333333333335,0.2357022603955158,2.8333333333333335,0.4714045207910317,3.6666666666666665,0.8498365855987975,5.0,0.7071067811865476,5.833333333333333,1.3123346456686351
abandit,sem_rel_helpful,high_neg_scale,14B,actionhist,50.0,0.0,150.0,70.71067811865476,200.0,0.0,200.0,0.0,200.0,0.0,200.0,0.0,200.0,0.0,200.0,0.0
abandit,sem_rel_helpful,high_neg_scale,14B,fullhist,50.0,0.0,100.0,70.71067811865476,200.0,0.0,216.66666666666663,23.570226039551585,233.33333333333337,23.570226039551585,266.6666666666667,23.570226039551585,266.6666666666667,23.570226039551585,300.0,0.0
abandit,sem_rel_helpful,high_neg_scale,14B,summhist,50.0,0.0,50.0,0.0,150.0,70.71067811865476,200.0,0.0,200.0,0.0,200.0,0.0,200.0,0.0,200.0,0.0
abandit,sem_rel_helpful,high_neg_scale,8B,actionhist,16.666666666666668,23.570226039551585,33.333333333333336,23.570226039551585,100.0,70.71067811865476,100.0,70.71067811865476,116.66666666666669,94.28090415820634,166.66666666666666,84.98365855987974,166.66666666666666,84.98365855987974,166.66666666666666,84.98365855987974
abandit,sem_rel_helpful,high_neg_scale,8B,fullhist,0.0,0.0,50.0,0.0,150.0,70.71067811865476,200.0,0.0,200.0,0.0,250.0,0.0,250.0,0.0,283.3333333333333,23.570226039551585
abandit,sem_rel_helpful,high_neg_scale,8B,summhist,33.333333333333336,23.570226039551585,50.0,0.0,150.0,70.71067811865476,150.0,70.71067811865476,150.0,70.71067811865476,150.0,70.71067811865476,150.0,70.71067811865476,166.66666666666666,84.98365855987974
abandit,sem_rel_helpful,high_scale,14B,actionhist,100.0,0.0,200.0,0.0,300.0,0.0,400.0,0.0,500.0,0.0,600.0,0.0,700.0,0.0,800.0,0.0
abandit,sem_rel_helpful,high_scale,14B,fullhist,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
abandit,sem_rel_helpful,high_scale,14B,summhist,66.66666666666667,47.14045207910317,133.33333333333334,47.14045207910317,216.66666666666663,84.98365855987974,216.66666666666663,84.98365855987974,216.66666666666663,84.98365855987974,216.66666666666663,84.98365855987974,216.66666666666663,84.98365855987974,216.66666666666663,84.98365855987974
abandit,sem_rel_helpful,high_scale,8B,actionhist,33.333333333333336,47.14045207910317,66.66666666666667,94.28090415820634,100.0,141.4213562373095,133.33333333333334,188.56180831641268,166.66666666666666,235.70226039551585,200.0,282.842712474619,233.33333333333337,329.98316455372213,266.6666666666667,377.12361663282536
